exercise,sets,reps,rir,rest,category,workout,weeks
4. Heel Elevated Dumbbell Split Squat,2,8 to 12,1-Jan,4 min,Legs (Lunge variation),Lower A,4-5
5. Seated Calf Raise,2,8 to 12 (double drop set),0-Jan,2 min,Calves,Lower A,4-5
6. Weighted Crunch,2,8 to 12,0-Jan,2 min,Core (Upper Abs),Lower A,4-5
,,,,,,Lower A,4-5
,,,,,,,
1. Flat DB Press,2,6 to 8,1-Jan,3 min,Chest (flat press),Push,4-5
2. Incline Chest Press Machine,2,8 to 12,0,3 min,Chest (Incline Press),Push,4-5
3. Chest Fly Machine,1,8 to 12,0,3 min,Chest (Fly),Push,4-5
4. Single Arm Cable Lateral,2,6 to 8,0,3 min,Shoulder (Medial Delt),Push,4-5
5. Cross Cable Tricep Pushdown,2,10 to 15,0,2 min,Tricep,Push,4-5
,,,,,,,
,,,,,,,
1. Underhand High Row Machine,2,8 to 12,0,3 min,Back (High Row),Pull,4-5
2. Chest Supported Upper Back Row,2,8 to 12,0,3 min,Back (Upper Back Row),Pull,4-5
3. Single Arm DB Row,1,6 to 8,0 to 1,3 min,Back (Lats Row),Pull,4-5
4. Cable Rear Delt,2,8 to 12,0,2 min,Shoulder (Rear Delt),Pull,4-5
5. Incline DB Curls,2,8 to 12,0,2 min,Biceps,Pull,4-5
,,,,,,,
,,,,,,,
1. Seated hamstring curl,2,8 to 12 (double drop set),0-Jan,3 min,Hamstring (Curl),Lower B,4-5
2. Barbell RDL,1,6 to 8,1,4 min,Hamstrings / Glutes (Hamstrings legnthened),Lower B,4-5
3. Feet Wide and High Leg Press,1,6 to 8 (rest pause set),0 to 1,3 min,Quads / Glutes (Leg Press),Lower B,4-5
4. Walking lunges,2,8 to 12,1-Jan,3 min,Legs (Lunge variation),Lower B,4-5
5. Calf Raise Toe Press,2,8 to 12 (double drop set),0-Jan,2 min,Calves,Lower B,4-5
6. Weighted Crunch,2,8 to 12,0-Jan,2 min,Core (Upper Abs),Lower B,4-5
,,,,,,,
1. Wide grip lat pulldown,2,8 to 12 (double drop set),0,3 min,Back (Lat Pulldown),Upper,4-5
2. Seated Cable Row,1,6 to 8,0,4 min,Back (Back Row),Upper,4-5
3. Incline DB Bench,1,6 to 8,0 to 1,4 min,Chest (Incline Press),Upper,4-5
4. Chest Fly Machine,2,8 to 12 (double drop set),0,3 min,Chest (Fly),Upper,4-5
5. Single arm cable lateral,2,10 to 15,0,3 min,Shoulder (Medial Delt),Upper,4-5
6. Tricep Rope Pushdow,2,10 to 15 (double drop set),0,3 min,Triceps,Upper,4-5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1. Seated hamstring curl,2,8 to 12,4 to 6,3 min,Hamstring (Curl),Lower A,6
2. Barbell Back Squat,1,6 to 8,4 to 6,4 min,Quads / Glutes (Squat Movements),Lower A,6
